"Hofje Concordia Zuid ","1"
"jachthaven schellingwoude","1"
"het Rechthuis","1"
"Gebouw de Wittenberg","1"
"Gebouw Batavia","1"
"Zuiderkerk|Waag (Nieuwmarkt)","1"
"Escompto maatschappij","1"
"Jeugdtheater de Krakeling","1"
"Hogesluis|Magere Brug|Zuiderkerk|Stadhuis-Muziektheater","1"
"De Duif|Amstelkerk","1"
"gevelsteen de Otter","1"
"kantoor van Heineken","1"
"Huis Poppen","1"
"Ronde Lutherse Kerk|Westerkerk|Posthoornkerk|Westergasfabriek","1"
"d'Koning van Zweden ","1"
"Vredenhofje","1"
"theater de koopermolen","1"
"Gereformeerd Gymnasium","1"
"Accijnshuisje","1"
